title,region,instructions
Mom's Swedish Meatballs,nordic,"Directions                                                                                                                    In a large bowl, combine the first six ingredients. Add beef; mix lightly but thoroughly. Shape into 1-1/2-in. meatballs (about 36). In a large skillet over medium heat, brown meatballs in batches. Using a slotted spoon, remove to paper towels to drain, reserving drippings in pan.                                                                                                                               For gravy, stir flour into drippings; cook over medium-high heat until light brown (do not burn). Gradually whisk in milk until smooth. Stir in the consomme, Worcestershire sauce, pepper and salt. Bring to a boil over medium-high heat; cook and stir for 2 minutes or until thickened.                                                                                                                               Reduce heat to medium-low; return meatballs to pan. Cook, uncovered, 15-20 minutes longer or until meatballs are cooked through, stirring occasionally.                                                                                                                               Meanwhile, cook noodles according to package directions. Drain; toss with butter. Serve with meatball mixture; sprinkle with parsley.                                                    Yield: 6 servings.                                                                                                                                                                                                                                 Originally published as Moms Swedish Meatballs in  Taste of HomeFebruary/March 2013                                                                                                                                                                                                                                                                                  window._taboola = window._taboola || [];                  _taboola.push({                    mode: 'thumbnails-i',                    container: 'taboola-native-stream-thumbnails',                    placement: 'Native Stream Thumbnails Redesign',                    target_type: 'mix'                  });"
New Nordic HADDOCK on SHREDDED VEGETABLES with ALMOND GREMOLATA,nordic,"Preheat the oven to 400F.Make the Yogurt Sauce Stir all the ingredients together and keep covered in the fridge.Make the Gremolata Heat 2 tablespoon olive oil in a small non-stick skillet over medium heat. Add the shallots, almonds and lemon zest and garlic. Cook, stirring, for 2 minutes until fragrant and softened a bit. Set aside.Cook the Vegetables and Fish: In a large bowl, toss the shredded vegetables with 2 tablespoons olive oil,  teaspoon salt and several grinds of black pepper. Spread veggies out in a large casserole dish and cook in the hot oven for 10 minutes. Remove casserole from the oven. Place fish on top of the vegetables. Drizzle 2 tablespoon olive oil and sprinkle 3 tablespoons lemon juice over the fish. Season the fish with  teaspoon salt and several grinds of black pepper. Sprinkle the gremolata over the fish and vegetables. Put the casserole in the oven and cook for 8-10 minutes, until the fish is just cooked through. (timing will vary based on the thickness of the fish)To Serve: Divide vegetables and fish between 4-5 plates. Decorate plates with fennel fronds, if you like. Serve with lemony yogurt sauce on the side."
Swedish Meatballs,nordic,"Combine onion, bread crumbs, 1/4 teaspoon salt, pepper, nutmeg and cardamom (if using) in a large bowl. Add turkey and pork; gently mix to combine (do not overmix). Using a scant 2 tablespoons for each, make about 20 meatballs.Heat oil in a large nonstick skillet over medium heat. Add the meatballs and cook, turning occasionally and reducing the heat if the pan gets too hot, until almost cooked through, 10 to 12 minutes. Transfer to a plate.Add mushrooms to the pan and increase heat to medium-high. Cook, stirring occasionally, until their liquid has been released and evaporated, 8 to 10 minutes.Whisk broth and flour in a bowl and add to the pan along with the meatballs. Bring to a simmer and cook until the meatballs are just cooked through and the sauce is thickened, about 2 minutes. Remove from the heat. Add sour cream, parsley, jam and the remaining 1/2 teaspoon salt to the sauce; gently stir until combined."
Swedish Lamb Stew with Pears,nordic,"Preheat oven to 325 degrees. Season the meat with salt and pepper. In a dutch oven, brown the lamb pieces in olive oil till they form a dark crust. Remove and set aside.In the same pan, brown the onions and garlic. Be sure to scrape up any brown bits from the bottom of the pan.Once the onions and garlic and tender and have some color, return the lamb to the pan.Make an herb bouquet by tying the thyme, parsley and bay leaf together with cooking twine. Add 2 tsp salt, 1/2 tsp pepper, herb bouquet and enough water to cover. I used 6 cups of water, but this may vary slightly based on the size of your pan.Cover and cook in the preheated oven for 1 hour. Remove from oven and add the pears, potatoes and string beans to the pan.Cover and cook for an additional hour, or longer if needed, till lamb is very tender and pears, potatoes and beans are cooked through and tender.Remove the meat and lay in a mound in the center of a serving dish. Surround with the vegetables and pears.Remove the herb bundle from the sauce. The book suggests thickening the sauce into gravy by ricing one of the potatoes and adding it to the cooking liquid. I tried this, but it was still a bit on the thin side, so instead I added 1 tbsp of corn starch mixed with a little cold water (corn starch wasn't commonly used as a thickener till after this cookbook was published, so this was a slight modernization). I simmered it in the remaining sauce till it thickened into a nice gravy. You can add more cornstarch mixed with water to thicken it further, if desired. Season with salt and pepper to taste (I used lots of pepper!).Serve the stew with hot gravy to pour over each serving. Serve."
Low Calorie Swedish Meatballs – 5 Points,nordic,"InstructionsPreheat oven to 350. Spray a 9×13 baking dish with non-fat cooking spray, and place in oven while preheating.In a food processor, mince onion, parsley, garlic and celery.Place it in a large bowl, and add in beef, egg, breadcrumbs, cinnamon, nutmeg, ginger, cardamom and salt and pepper to taste. Combine well with hands.Form mixture in 24 meatballs (about 1” each). Remove baking dish from oven and place meatballs about 1/2 inch apart in the hot baking dish. Press down to flatten the bottom just slightly.Bake for 15 minutes in oven, then turn over and continue baking for 10 more minutes.Spray a large nonstick skillet with non-fat cooking spray. Add in beef broth and bring to a boil. Turn heat down to a low simmer and gently add in the meatballs. Cover and let cook for 25 minutes.Remove meatballs with a slotted spoon and set aside.Add cream cheese into broth, and slowly whisk in until cream cheese and well combined.Then add in the sliced mushrooms and cook for about 5 minutes. Pour sauce over meatballs, garnish with additional parsley and serve."
Caribbean Citrus Spiced Wild Salmon,caribbean,"In a small bowl, combine Caribbean Citrus Spice mixture.  Rub about 1/2 - 1 tablespoon of spice mixture on the tops of the salmon fillets making sure to evenly coat.  You may have some spice mixture remaining which can be stored in an airtight container and used again.Heat a grill pan on medium-high heat and lightly coat with a little coconut oil or other fat of choice (you won’t need much because salmon is already a oily fish).  Add salmon, skin side up, and cook for 3-4 minutes.  Turn and cook skin side down, until salmon is opaque throughout, about another 5 minutes.  You can gently remove skin by using a spatula if you prefer.Serve immediately with sides of choice."
Caribbean Jerk Salmon Tostadas with Grilled Pineapple Peach Coconut Salsa,caribbean,"InstructionsHeat a skillet over medium heat. Add olive oil about 1/4 teaspoon at a time, add one tortilla and cook for about 30-60 seconds per side, until just golden and bubbly. Remove and let drain on a paper towel. Set aside until ready to use.Preheat the grill to medium high heat.In a glass measuring cup or bowl combine the ketchup, soy sauce, orange juice, molasses, curry powder, cayenne pepper, ginger, garlic and olive oil. Whisk to combine.Add the salmon to a medium size bowl or gallon size ziplock bag and rub with about 1/4 cup of the sauce. Reserve the remaining sauce for later.When the grill is hot, add the salmon, flesh side down (this is also when I grilled the pineapple for the salsa). Grill about 3-4 minutes and then flip, baste with a little of the jerk sauce and grill about another two to three minutes. Remove the salmon from the grill, allow to cool a few minutes and then remove the skin from the salmon and cut into four equal pieces.While the salmon cools make the salsa. Grill or broil the pineapple until charred (again, I did this while grilling the salmon). Allow to cool and chop into chunks. In a medium size bowl toss the grilled pineapple, chopped peach, tomatoes, jalapeo, toasted coconut, cilantro, lime juice and salt. Toss well and taste. Add more salt if needed.Toss the coconut rice with the black beans.Preheat the broiler to high.Divide the rice among the 4 tostadas and top with equal amounts of cheddar cheese. Place under the broiler for 30 seconds or until the cheese is melted, watch closely. Remove from the oven and top each tostada with a piece of salmon and then top with the pineapple peach salsa. Serve."
Sunday Slow Cooker: Ropa Vieja,caribbean,Spray your crockpot with cooking spray or use a crockpot liner.Add everything to the crockpot and stir together.Cook on low for around 6 hours. Cooking times may vary slightly depending on your crockpot.
Caribbean Jerk Salmon Bowl with Mango Salsa,caribbean,"Stir the spices together. Rub over salmon filets (on the meat and also the skin if you want). Sprinkle with sea salt.Heat the oil in a skillet over medium high heat. Add salmon, starting skin side down, and cook for 3-5 minutes. Add more oil as necessary to prevent from sticking. Flip the salmon and cook another 3-5 minutes on the meat side. The salmon will start to get a brown crust on the outside from the spices.When salmon is mostly cooked, pull off the skin, leaving just the pieces of meat in the skillet. Break up into smallish pieces and leave on heat until completely cooked through (not translucent). Once the pieces are cooked, remove from heat - salmon dries out quickly if you overcook it.Combine mangoes, red onion, cilantro, lime juice, and avocado in a small bowl and stir until combined. Season with sea salt.Stir together rice and beans and season with several pinches of salt, adding a tablespoon water if necessary.Divide between bowls, layering the rice and beans, salmon, and salsa into each bowl."
Jerk chicken burger,caribbean,"Put the chicken breasts in between pieces of cling film and bash with a rolling pin to flatten. Mix together the thyme, oil, jerk seasoning and half the lime juice in a bowl. Add the chicken and leave to marinate for 5 mins.
Heat a griddle pan until hot and cook the chicken for 4-5 mins each side or until cooked through. Remove from the heat. Meanwhile, toast the cut sides of the buns for 1-2 mins.
Put the chicken on the buns and top with the mango, tomato and a handful of lettuce. Squeeze over the rest of the lime and top with mayo and ketchup, if you like."
Slow-Cooker Caribbean Beef Stew,caribbean,"Strip the leaves from 1 sprig thyme and chop; combine with the flour, allspice, 1/2 teaspoon salt and 1/4 teaspoon white pepper in a large bowl. Add the beef and toss to coat. Put the potatoes, carrots, the remaining 2 thyme sprigs, the ginger and garlic in a 5-to-6-quart slow cooker. Add the beef, reserving any excess seasoned flour in the bowl. Whisk 1/2 cup water and the Worcestershire sauce into the reserved seasoned flour, then add to the slow cooker. Pour the tomatoes on top. Cover and cook on low 7 hours or on high 4 hours. Add the scallions to the stew and season with salt. Divide among bowls and serve with hot sauce.                          Photograph by Christopher Testani"
Slow-Cooker Ropa Vieja,caribbean,"Combine the tomatoes, ketchup, vinegar, garlic, cumin, jalapeno and 3/4 teaspoon salt in a 5-to-6-quart slow cooker. Add the steak, bell peppers and onion and toss to coat. Cover and cook on low, undisturbed, 8 hours.                          Uncover and skim off any excess fat. Coarsely shred the meat with 2 forks, then stir in the olives and olive brine. Serve over rice.                          Photograph by Antonis Achilleos"
Grilled Chicken Caribbean Pita Pockets,caribbean,"Place the first 5 ingredients for the tequila lime chicken in a small mixing bowl and whisk well.Add the chicken to the marinade.Marinate for 30 minutes in the refrigerator then grill over medium-high heat for 20 minutes, flipping half way through grilling.Slice the chicken, then begin to put the pita sandwiches together.Slice each pita bread in half, then place a leaf of butter lettuce in each half of pita bread, followed by the chicken, then top with the mandarin oranges, pineapple, bell pepper and tomatoes.Drizzle with the Honey Lime Dressing."
Jerk chicken curry with beans,caribbean,"Toss chicken in 1 tsp jerk seasoning and a little salt and pepper. Heat half the oil in a large frying pan, quickly brown the chicken, then remove. Tip in the remaining oil, onions and coriander stalks, then soften for 5 mins, stirring in the remaining jerk seasoning for the final min.
Return the drumsticks to the pan, pour over the tomatoes, then bring to a simmer. Cover, then cook for 20 mins. Remove the lid, stir in the beans, then cook for 10 mins more. Scatter with coriander and serve with rice."
Hemp Hummus Pita Pockets,middle eastern,"1. Bring chickpeas, garlic, and 1/2 cup water to a boil in small saucepan. Cook 1 minute, remove from heat, and coarsely mash. Stir in hemp seeds and lemon juice; season with salt and pepper, if desired. Cool.2. Combine cucumber, tomato, bell pepper, parsley, green onion, lemon juice, and oil in small bowl; season with salt and pepper, if desired.3. Fill 1/2 whole-wheat pita with 1/3 cup hummus and 1/2 cup cucumber salad."
Sweet Potato and Millet Falafel,middle eastern,"Place the chickpeas, sweet potato, onion, garlic, parsley, cilantro, coriander, salt, cumin, cayenne, and black pepper into the bowl of a food processor and alternate between pulsing and blending, stopping to scrape down the sides of the bowl occasionally, until all of the ingredients in the the falafel mixture are uniform in size, but still slightly grainy in texture. Transfer the mixture to a mixing bowl and fold in the cooked millet. Roll a small amount of the falafel mixture into a walnut sized ball or a small patty with your hands. It should hold together nicely and not fall apart. (If it seems too wet, sprinkle the mixture with a small amount of the chickpea flour, no more than a tablespoon at a time, and fold it in. Once texture is correct, sprinkle the baking soda over the falafel and stir the mixture until combined.) Repeat the shaping process with the rest of the falafel mixture and place the uncooked falafel on a large plate or baking sheet until ready to cook.Pour the grapeseed oil into a high-sided skillet or saucepan to a depth of 3 inches or high enough to cover the falafel. Place a thermometer into the oil and heat on medium-high until the temperature reaches 360°-375°F.While the oil is heating, place a flattened paper grocery bag onto a baking sheet and cover it with a few clean paper towels. This will help to collect the oil as it drains off of your falafel.When the oil is ready, fry a test falafel. The oil should bubble up and sizzle all around it. The falafel itself should stay together in one piece and not break apart at all. It should take 2-3 minutes to fry to a beautiful golden brown. If your falafel is not completely submerged flip and cook the other side until it’s nice and browned all over. Remove the cooked falafel from the oil and drain on the prepared baking sheet. Sprinkle with coarse salt while the falafel is still hot, if desired. Fry the remaining falafel in batches, being careful not to over-crowd the pan and drop the temperature of the oil.Shape your falafel into patties, not balls. Heat a large skillet over medium-high heat. Pour 2-3 tablespoons of grape seed oil in the skillet and swirl to coat. Place the falafel patties in the skillet and cook for 2-3 minutes on each side, until crispy and browned. Transfer to a paper towel-lined plate to absorb the excess oil and sprinkle with coarse salt, if desired.Shape your falafel into patties, not balls. Preheat the oven to 400ºF and spray a baking sheet with an oil mister filled with grapeseed oil. Place the falafel onto the baking sheet and spray the tops with additional oil; bake for about 25 minutes, flipping halfway through cooking time, or until golden brown on the outside."
Slow Cooked Lebanese Green Beans and Beef,middle eastern,"Place beef, green beans, onion and tomatoes in slow cooker.Stir in cinnamon, salt and pepper.Cook on High Heat for 4 hours of Low Heat for 8 hours.Serve over rice pilaf and a dollop of plain yogurt. Garnish with fresh parsley."
High Protein Hummus Chicken Salad,middle eastern,"Instructions

Preheat your oven to 350 degrees and spray a small baking sheetwith cooking spray.

Cut any visible fat off your chicken breasts and bake until no longer pink inside, 20-25 minutes.

In a large bowl, mix together the spinach, sliced tomato, sliced cucumber and sliced red onion. Divide between 2 bowls.

Top each salad with a sliced chicken breast and as much Hummus as your heart desires.

DEVOUR"
The Best Falafel,middle eastern,"To soak dried chickpeas, rinse them and then put them in a large bowl.  Cover with lots of cold water and soak for 12 hours, or overnight.  Drain and rinse them, and then measure out 3 cups, which should be 1 lb.Cut the half onion into quarters and drop into the food processor as the machine is running.  Follow with the garlic cloves.  Cut the pepper in half and drop that in too.  Stop the machine and add in the fresh parsley and cilantro.  Use lots of herbs, if you need a way to measure, use a firmly packed cup of each. The herbs filled my processor to the top before I processed them.  Process the herbs until finely minced.  Stop and scrape down the bowl as necessary.Add the drained chickpeas to the machine and pulse until they start to break down.  Scrape down the sides of the machine, and process until the mixture is even and finely ground, but not pasty.  It is ready when a bit of the mixture holds together when you press it between your fingers. Remove the mixture to a bowl and lightly mix in the salt, baking soda, cumin, ground coriander, lemon zest and juice.  Make sure it is well combined, but don't compact the mixture.Heat your oil to 340- 350F, using a clip on thermometer to check the temperature.  Your oil should be at least 3 inches deep.  Using a 1 1/2 inch scoop, scoop out the mixture and roll between your palms to form into round balls. They will be about the size of large walnuts.  Set on a plate.When the oil is hot, gently lower the balls into the oil with a slotted spoon.  Work in batches so you don't crowd your pan.  Fry the falafel for about 4 to 5 minutes, until they are a nice deep brown.  Drain on paper towels.Serve hot with tahini sauce.  Make the tahini sauce by mixing the tahini, lemon juice, salt, and enough water to make a pourable sauce.  Taste to adjust the seasonings."
Curried Red Lentil Hummus,middle eastern,"Mix the lentils and water in a saucepan and bring to a boil. Reduce heat to low, cover, and simmer for 10 minutes. Drain thoroughly - this is important because the lentils hold a lot of water. I let them sit in the strainer for 10 minutes.Combine the lentils, chickpeas, curry paste, curry powder, cayenne and salt in a food processor. Process until mostly smooth. Drizzle in olive oil with the processor on, then thin out with water until it reaches desired consistency. I used 3 tablespoons."
Roasted Red Pepper Hummus,middle eastern,"Drain chickpeas and set aside liquid from can along with a few chickpeas for garnish.Combine all ingredients in the food processor (except the reserved chickpea liquid). Blend for 2-3 minutes (blend longer for more creamy texture). Use the chickpea liquid that you reserved to add to the hummus and blend more if you feel you want a creamier texture.Add the roasted red peppers and pulse until the peppers are blended in and the hummus is smooth.Place in serving dish, drizzle with olive oil and garnish with paprika and parsley (optional)."
Parsley Scallion Hummus Pasta,middle eastern,"Drain the chickpeas and add them to a food processor along with the olive oil, juice from the lemon (about  cup), tahini, garlic, cumin, and salt. Pulse the ingredients, adding a small amount of water if needed to keep it moving, until the hummus is smooth.Slice the scallions (both white and green ends) and pull the parsley leaves from the stems. Add the green onion and parsley to the hummus in the food processor and process again until only small flecks of green remain. Taste the hummus and adjust the salt, lemon, or garlic if needed.Cook 8oz. of your favorite pasta according to the package directions. Reserve one cup of the starchy cooking water, then drain the cooked pasta in a colander. Return the drained pasta to the pot with the heat turned off. Add about  of the hummus to the pasta and stir until the pasta is evenly coated (add more hummus if needed). Add the reserved pasta water as needed to keep the mixture smooth and saucy. Serve immediately."
Kale and Hummus Salad,middle eastern,"Watch how to make this recipe.                    Heat a small saute pan over medium heat. Add the olive oil and garlic and cook just until fragrant, 2 minutes. Allow to cool slightly. In a large bowl, whisk together the tahini and lemon juice. Gradually whisk in the garlic oil. Add the kale, salt and chickpeas and gently toss together, bringing the dressing up from the bottom to coat everything evenly. Add the chicken and cranberries, and toss. Sprinkle with za'atar if desired. Serve."
We Fell Hard For Max Sussman's Lentil-Pistachio Hummus,middle eastern,"Directions:                                     Pulse the pistachios in a food processor until a fine consistency.Add the olive oil, lemon juice, water, garlic, salt and coriander and pulse to combine. Add the lentils and parsley and pulse to combine.Taste and adjust seasoning.Find more creamy hummus recipes on Food Republic:Hummus And Cauliflower Tartines RecipeBest Basic Hummus RecipeGarlic And Jalapeño Hummus Recipe"
Korean Spicy BBQ Chicken Tacos,korean,Directions:1. Assemble tacos as you like and enjoy.
Korean Short Rib Tacos,korean,Directions:1. Assemble tacos.
Cauliflower Rice Kimchi Bowls,korean,"Make the coconut sauce: In a small bowl, whisk together the coconut milk, miso paste, lime juice or rice vinegar, ginger, and salt. Set aside.
In a large nonstick skillet, heat a drizzle of olive oil over low heat. Add the riced cauliflower, the scallions, garlic, and a few pinches of salt, and cook, stirring occasionally, for 3 minutes just to take the raw flavor off the cauliflower. Remove from the heat and stir in  of the coconut sauce. Portion the cauliflower rice into 4 bowls.
Wipe any remaining cauliflower bits out of the skillet. Heat the pan back to medium with a few splashes of olive oil. Add the mushrooms and a few pinches of salt and cook, stirring occasionally, until tender, about 5 minutes. Remove from the heat and stir in the rice vinegar and a few splashes of tamari. Add the mushrooms to the cauliflower bowls.
Wipe out the skillet again, add a tiny bit of water and the kale and cook over medium heat, covered, for 1 minute or until lightly wilted.
Finish assembling the bowls by drizzling more of the coconut sauce over each portion of cauliflower. Add the kale, tofu, avocado, and kimchi to the bowls along with the microgreens and sesame seeds, if using. Serve with any remaining sauce and the lime slices on the side."
Instant Pot Korean Beef Bowls,korean,"Blend: Combine the ingredients listed in the blend section in a food processor or blender until a smooth paste forms. If you do this in a blender, use the 1/4 cup of water listed under instant pot also.Instant Pot: Add the prepared mixture to the IP along with the all the remaining listed ingredients. Cover the IP make sure it is sealed. Cook the Korean Beef on manual,  high pressure for 35 minutes. When its done, do a quick pressure release. Shred the meat if desired to use in burritos, I leave it as is for bowls!Burrito: to make a burrito, spread sriracha mayo on a warm flour tortilla, top with cooked rice, shredded meat, lettuce leaves, kimchi, chopped peanuts, cilantro, and a squeeze of lime.Bowls: to make a bowl, add cooked rice to your bowl, along with the prepared meat, kimchi, chopped peanuts, cilantro, a fried or half boiled egg. Sprinkled with scallions or toasted sesame seeds!"
Vegetarian Bibimbap with Crispy Tofu and Quinoa,korean,"Prepare Ultra Crispy Unfried Tofu. In a small bowl, stir together 2 tablespoons soy sauce, 1 tablespoon honey, and 1 tablespoon sesame oil. Toss with cooked tofu and set aside. Set out 4 bowls for the cooked vegetables. Bring a large pot of water to a boil. Add chopped kale and cook for 3 minutes, until crisp-tender. Remove from the water, squeeze dry, and place in one of the prepared bowls. Toss with 1 1/2 teaspoons soy sauce, 1 teaspoon sesame oil, and 1 teaspoon minced garlic. Set aside. Refill pot with fresh water and return to boil. Add bean sprouts and cook until tender and slightly translucent, 2-3 minutes. Remove to bowl, toss with 1/2 teaspoon soy sauce. Set aside.Heat 2 teaspoons olive oil in a large skillet. Add white parts of the green onions, 1 teaspoon garlic, and mushrooms. Sautee for 4 minutes, until the mushrooms are tender. Toss with 1 teaspoon soy sauce and remove to one of the prepared bowls.In the same skillet, heat the remaining teaspoon olive oil. Add carrots, remaining 2 teaspoons sesame oil, and remaining teaspoon minced garlic. Sauté 2-3 minutes, until slightly tender. Remove to final bowl.Just before serving, heat a lightly oiled skillet over medium heat. Cook eggs sunny side up. In a small bowl, stir together the chili pepper paste and remaining tablespoon honey.To serve: Place cooked quinoa in the bottom of the bowl. Then top with small mounds of the tofu, kale, mushrooms, carrots, and bean sprouts. Top with toasted sesame seeds, a fried egg, and the green tops of the green onions. Serve with the chili bean paste."
Korean Steak and Noodle Lettuce Cups,korean,"Whisk all the ingredients together for the sauce in a small bowl and set aside.Bring a large pot of water to a boil. Add rice noodles, cook according to package directions, drain, rinse with cold water and set aside.Heat  tablespoon of the sesame oil in a large skillet or wok over medium-high heat.Add the carrots, peppers and mushrooms to the pan and cook, tossing occasionally until just softened, about 3 minutes. Transfer vegetables to a plate or bowl and set aside.Add the remaining  tablespoon sesame oil to the skillet then add the steak and cook until browned on one side, flip and cook on the other side until completely browned. Drain any excess fat and return to the stove top.Add the sauce and green onions to the skillet, toss with the steak until all the pieces are coated, lower the heat to medium-low and reduce until thickened and sticky, about 2-3 minutes.Add the vegetables and rice noodles back in the pan and toss everything together until well combined and coated with the sauce.Remove from heat, add the cilantro and give one final toss.Spoon the steak and noodle mixture into the lettuce leaves and garnish with sesame seeds before serving."
Slow Cooker Korean BBQ Pot Roast and Sweet Potatoes,korean,"Layer the onions and sweet potatoes in the bottom of a slow cooker. Place the beef eye round roast on top. Pour the Sweet Korean BBQ Sauce over. Set the slow cooker to low and cook for 8-10 hours. Remove the roast from the slow cooker and slice into thin slices (against the grain). Return to the slow cooker and mix with the juices. Sprinkle with scallions, as desired, and serve immediately."
"Squash, Shiitake, Kale, and Kimchi Stew",korean,"Procedures                                                                              1                                                                            Warm sesame oil into a medium saucepan over medium-high heat. Add  scallion whites and garlic and cook, stirring occasionally, until fragrant, about 30 seconds. Add squash and shiitakes, stir well, and cook until squash starts to soften, 3 to 5 minutes minutes. Add chopped kale and cook, stirring often, until leaves turn bright green and wilt slightly, about 2 minutes.                                                                                                                            2                                                                            Stir in kimchi, kimchi liquid, stock, water, soy sauce, mirin, gochujang, and doenjang. Bring to a boil over high heat, reduce heat to a strong simmer. Stir in soft tofu and kochukaru (if using), and cook until kale is tender and soup has slightly thickened, about 10 minutes. Season to taste with more salt and chili flakes if desired.                                                                                                                            3                                                                            Serve soup immediately, sprinkled with scallion greens."
Slow Cooker Korean Tacos,korean,"Add the pieces of pork in the insert/bowl of your slow cooker. Add hoisin sauce, garlic, green onions, and ground ginger.Toss each piece of pork a few times to fully coat with the sauce and spices.Cover and cook on low for 8 to 9 hours.Prior to serving, in a bowl, toss coleslaw or broccoli slaw mix with rice wine vinegar and brown sugar.Remove pork from slow cooker and shred. Place pork back into the sauce and toss to coat.Serve in warmed tortillas with slaw on top or spoon pork onto a bed of rice. Garnish with sliced green onions, if desired.Store leftovers in an airtight container for up to 5 days."
Grilled Salmon with Spicy Korean Chile Pepper Sauce,korean,Mix marinade ingredients together. Spread on all sides of salmon fillet. Let marinade for 20 minutes. Grill until just cooked through.
